example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | failed | 0.0053 seconds  |
./spec/features/calculations_spec.rb[2:1]  | failed | 0.00232 seconds |
./spec/features/calculations_spec.rb[3:1]  | failed | 0.00228 seconds |
./spec/features/calculations_spec.rb[4:1]  | failed | 0.00185 seconds |
./spec/features/calculations_spec.rb[5:1]  | failed | 0.00162 seconds |
./spec/features/calculations_spec.rb[6:1]  | failed | 0.00288 seconds |
./spec/features/calculations_spec.rb[7:1]  | failed | 0.00341 seconds |
./spec/features/calculations_spec.rb[8:1]  | failed | 0.00265 seconds |
./spec/features/calculations_spec.rb[9:1]  | failed | 0.00292 seconds |
./spec/features/calculations_spec.rb[10:1] | failed | 0.002 seconds   |
./spec/features/calculations_spec.rb[11:1] | failed | 0.00217 seconds |
./spec/features/calculations_spec.rb[12:1] | failed | 0.00345 seconds |
./spec/features/calculations_spec.rb[13:1] | failed | 0.0021 seconds  |
./spec/features/calculations_spec.rb[14:1] | failed | 0.00187 seconds |
./spec/features/calculations_spec.rb[15:1] | failed | 0.00239 seconds |
./spec/features/calculations_spec.rb[16:1] | failed | 0.00345 seconds |
./spec/features/calculations_spec.rb[17:1] | failed | 0.0046 seconds  |
./spec/features/calculations_spec.rb[18:1] | failed | 0.01965 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.00249 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.00221 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.00247 seconds |
./spec/features/calculations_spec.rb[22:1] | failed | 0.00302 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.00258 seconds |
./spec/features/calculations_spec.rb[24:1] | failed | 0.00206 seconds |
./spec/features/calculations_spec.rb[25:1] | failed | 0.00193 seconds |
./spec/features/calculations_spec.rb[26:1] | failed | 0.00183 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.00197 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.00234 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.00226 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.00209 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.00193 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.0021 seconds  |
./spec/features/calculations_spec.rb[33:1] | failed | 0.00193 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.00217 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.00325 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.00284 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.0023 seconds  |
./spec/features/calculations_spec.rb[38:1] | failed | 0.00258 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.00282 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.00328 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.00239 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00266 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.00247 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00191 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.002 seconds   |
./spec/features/calculations_spec.rb[46:1] | failed | 0.00329 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00285 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.00222 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00208 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.00222 seconds |
